,Start,End
0,2019-09-14 16:54:31.215875,2019-09-14 16:54:32.009768
1,2019-09-14 16:54:33.079125,2019-09-14 16:54:33.208182
2,2019-09-14 16:54:33.293838,2019-09-14 16:54:36.300166
3,2019-09-14 16:54:36.552166,2019-09-14 16:54:36.614811
4,2019-09-14 16:54:38.793291,2019-09-14 16:54:44.443197
5,2019-09-14 16:54:44.507171,2019-09-14 16:54:46.585074
6,2019-09-14 16:54:46.857842,2019-09-14 16:54:47.993619
7,2019-09-14 16:54:48.192694,2019-09-14 16:54:48.315444
8,2019-09-14 16:54:48.395193,2019-09-14 16:54:48.584141
9,2019-09-14 16:54:48.856976,2019-09-14 16:54:55.946295
